Vendor Location,Participant Category,Year Month, Number of Participants Redeemed , Number Vouchers Redeemed ,Total Cost Vouchers,Average Cost,Statewide Infant Formula Rebate,Total Cost Vouchers Adjusted,Average Cost Adjusted,State Average Cost Adjusted
SONOMA              ,Prenatal  ,2018-06,541,"1,962","$30,397.14 ",$56.19 ,,,,
SONOMA              ,Prenatal  ,2018-07,543,"1,962","$30,512.13 ",$56.19 ,,,,
SONOMA              ,Prenatal  ,2018-08,544,"1,957","$30,616.82 ",$56.28 ,,,,
SONOMA              ,Prenatal  ,2018-09,527,"1,918","$29,946.39 ",$56.82 ,,,,
SONOMA              ,Prenatal  ,2018-10,501,"1,766","$27,724.74 ",$55.34 ,,,,
SONOMA              ,Prenatal  ,2018-11,495,"1,772","$28,099.70 ",$56.77 ,,,,
SONOMA              ,Prenatal  ,2018-12,469,"1,690","$26,660.08 ",$56.84 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-01,"1,447","6,131","$81,308.17 ",$56.19 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-02,"1,423","5,954","$77,933.15 ",$54.77 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-03,"1,474","6,152","$80,477.30 ",$54.60 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-04,"1,459","6,123","$79,182.43 ",$54.27 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-05,"1,461","6,154","$79,569.83 ",$54.46 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-06,"1,446","6,117","$79,146.61 ",$54.73 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-07,"1,440","6,010","$78,060.50 ",$54.21 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-08,"1,476","6,126","$79,870.67 ",$54.11 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-09,"1,510","6,313","$82,423.19 ",$54.58 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-10,"1,450","6,097","$79,963.47 ",$55.15 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-11,"1,433","5,951","$78,781.00 ",$54.98 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2010-12,"1,426","5,940","$78,375.69 ",$54.96 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-01,"1,470","6,202","$81,122.69 ",$55.19 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-02,"1,435","6,033","$79,924.49 ",$55.70 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-03,"1,526","6,379","$86,824.41 ",$56.90 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-04,"1,500","6,325","$87,315.23 ",$58.21 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-05,"1,486","6,228","$86,328.75 ",$58.09 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-06,"1,493","6,241","$86,863.11 ",$58.18 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-07,"1,418","5,970","$84,683.70 ",$59.72 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-08,"1,448","6,094","$87,887.49 ",$60.70 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-09,"1,500","6,374","$91,954.96 ",$61.30 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-10,"1,490","6,251","$90,013.68 ",$60.41 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-11,"1,424","5,917","$84,733.85 ",$59.50 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2011-12,"1,421","5,898","$85,016.34 ",$59.83 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-01,"1,511","6,297","$90,019.97 ",$59.58 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-02,"1,468","6,161","$87,448.94 ",$59.57 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-03,"1,479","6,162","$87,311.57 ",$59.03 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-04,"1,435","5,998","$84,302.14 ",$58.75 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-05,"1,445","5,936","$81,940.53 ",$56.71 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-06,"1,429","5,949","$81,428.74 ",$56.98 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-07,"1,422","5,884","$81,246.23 ",$57.14 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-08,"1,391","5,722","$79,378.48 ",$57.07 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-09,"1,325","5,460","$76,560.41 ",$57.78 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-10,"1,361","5,459","$77,343.72 ",$56.83 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-11,"1,283","5,189","$74,259.77 ",$57.88 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2012-12,"1,215","4,875","$70,050.95 ",$57.66 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-01,"1,312","5,328","$76,295.13 ",$58.15 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-02,"1,297","5,296","$75,566.07 ",$58.26 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-03,"1,265","5,141","$73,173.61 ",$57.84 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-04,"1,269","5,114","$72,419.13 ",$57.07 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-05,"1,288","5,254","$74,491.48 ",$57.84 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-06,"1,302","5,232","$74,274.32 ",$57.05 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-07,"1,368","5,523","$78,479.58 ",$57.37 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-08,"1,423","5,662","$80,049.23 ",$56.25 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-09,"1,352","5,447","$77,221.56 ",$57.12 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-10,"1,412","5,603","$79,869.92 ",$56.57 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-11,"1,316","5,249","$75,218.50 ",$57.16 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2013-12,"1,268","5,205","$74,699.94 ",$58.91 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-01,"1,362","5,535","$79,638.98 ",$58.47 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-02,"1,335","5,394","$78,938.98 ",$59.13 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-03,"1,356","5,451","$80,606.21 ",$59.44 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-04,"1,363","5,521","$82,139.35 ",$60.26 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-05,"1,364","5,414","$81,019.27 ",$59.40 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-06,"1,379","5,549","$82,898.11 ",$60.11 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-07,"1,438","5,749","$85,812.34 ",$59.67 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-08,"1,423","5,705","$84,891.90 ",$59.66 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-09,"1,416","5,725","$85,618.02 ",$60.46 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-10,"1,446","5,732","$85,544.29 ",$59.16 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-11,"1,336","5,328","$80,372.71 ",$60.16 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2014-12,"1,349","5,393","$82,011.04 ",$60.79 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-01,"1,393","5,542","$83,287.50 ",$59.79 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-02,"1,349","5,399","$80,378.08 ",$59.58 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-03,"1,455","5,774","$84,591.35 ",$58.14 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-04,"1,419","5,598","$80,609.21 ",$56.81 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-05,"1,384","5,547","$79,488.59 ",$57.43 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-06,"1,408","5,641","$82,158.55 ",$58.35 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-07,"1,407","5,671","$82,790.81 ",$58.84 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-08,"1,405","5,580","$81,188.44 ",$57.79 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-09,"1,382","5,470","$79,128.95 ",$57.26 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-10,"1,385","5,476","$80,069.65 ",$57.81 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-11,"1,369","5,342","$78,095.72 ",$57.05 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2015-12,"1,344","5,350","$77,687.48 ",$57.80 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-01,"1,335","5,311","$76,799.50 ",$57.53 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-02,"1,299","5,113","$73,543.19 ",$56.62 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-03,"1,256","5,018","$71,533.93 ",$56.95 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-04,"1,297","5,167","$73,880.75 ",$56.96 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-05,"1,254","4,999","$70,118.20 ",$55.92 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-06,"1,272","5,036","$70,752.68 ",$55.62 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-07,"1,233","4,881","$68,429.62 ",$55.50 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-08,"1,306","5,215","$73,332.32 ",$56.15 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-09,"1,311","5,225","$73,809.96 ",$56.30 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-10,"1,272","4,977","$70,389.52 ",$55.34 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-11,"1,305","5,146","$73,541.51 ",$56.35 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2016-12,"1,277","5,009","$72,014.78 ",$56.39 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-01,"1,311","5,174","$74,797.50 ",$57.05 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-02,"1,249","4,962","$71,271.76 ",$57.06 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-03,"1,299","5,030","$72,725.72 ",$55.99 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-04,"1,234","4,856","$70,197.47 ",$56.89 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-05,"1,205","4,679","$67,141.24 ",$55.72 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-06,"1,220","4,686","$67,160.63 ",$55.05 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-07,"1,171","4,527","$65,346.45 ",$55.80 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-08,"1,195","4,663","$66,714.29 ",$55.83 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-09,"1,220","4,747","$68,138.44 ",$55.85 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-10,"1,211","4,625","$66,849.37 ",$55.20 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-11,"1,146","4,407","$64,267.05 ",$56.08 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2017-12,"1,113","4,303","$63,075.95 ",$56.67 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-01,"1,161","4,488","$65,088.19 ",$56.06 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-02,"1,125","4,314","$63,066.35 ",$56.06 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-03,"1,140","4,366","$63,632.89 ",$55.82 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-04,"1,094","4,217","$60,871.30 ",$55.64 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-05,"1,132","4,315","$62,087.82 ",$54.85 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-06,"1,146","4,410","$63,405.30 ",$55.33 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-07,"1,173","4,471","$64,519.18 ",$55.00 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-08,"1,187","4,586","$65,913.31 ",$55.53 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-09,"1,133","4,354","$62,928.84 ",$55.54 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-10,"1,152","4,318","$62,623.54 ",$54.36 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-11,"1,091","4,196","$60,994.10 ",$55.91 ,,,,
STANISLAUS          ,Breastfeeding Mother  ,2018-12,"1,069","4,004","$58,203.12 ",$54.45 ,,,,
STANISLAUS          ,Child  ,2010-01,"12,403","45,801","$536,751.30 ",$43.28 ,,,,
STANISLAUS          ,Child  ,2010-02,"12,497","45,777","$529,815.76 ",$42.40 ,,,,
STANISLAUS          ,Child  ,2010-03,"12,832","46,924","$540,015.72 ",$42.08 ,,,,
STANISLAUS          ,Child  ,2010-04,"12,764","47,133","$535,857.65 ",$41.98 ,,,,
STANISLAUS          ,Child  ,2010-05,"12,529","46,066","$521,328.52 ",$41.61 ,,,,
STANISLAUS          ,Child  ,2010-06,"12,977","47,844","$542,670.77 ",$41.82 ,,,,
STANISLAUS          ,Child  ,2010-07,"12,904","47,594","$541,968.85 ",$42.00 ,,,,
STANISLAUS          ,Child  ,2010-08,"12,991","47,910","$548,173.97 ",$42.20 ,,,,
STANISLAUS          ,Child  ,2010-09,"12,904","47,709","$545,186.06 ",$42.25 ,,,,
STANISLAUS          ,Child  ,2010-10,"12,709","46,712","$538,393.41 ",$42.36 ,,,,
STANISLAUS          ,Child  ,2010-11,"12,445","45,817","$527,688.03 ",$42.40 ,,,,
STANISLAUS          ,Child  ,2010-12,"12,175","45,096","$519,671.38 ",$42.68 ,,,,
STANISLAUS          ,Child  ,2011-01,"12,596","46,663","$533,478.33 ",$42.35 ,,,,
STANISLAUS          ,Child  ,2011-02,"12,142","44,985","$518,076.54 ",$42.67 ,,,,
STANISLAUS          ,Child  ,2011-03,"12,440","45,962","$542,714.34 ",$43.63 ,,,,
STANISLAUS          ,Child  ,2011-04,"12,535","46,649","$563,784.22 ",$44.98 ,,,,
STANISLAUS          ,Child  ,2011-05,"12,500","46,359","$562,985.75 ",$45.04 ,,,,
STANISLAUS          ,Child  ,2011-06,"12,798","47,578","$580,613.41 ",$45.37 ,,,,
STANISLAUS          ,Child  ,2011-07,"12,447","46,428","$576,138.42 ",$46.29 ,,,,
STANISLAUS          ,Child  ,2011-08,"12,579","46,733","$587,064.15 ",$46.67 ,,,,
STANISLAUS          ,Child  ,2011-09,"12,112","45,161","$569,145.02 ",$46.99 ,,,,
STANISLAUS          ,Child  ,2011-10,"12,027","44,620","$560,302.53 ",$46.59 ,,,,
STANISLAUS          ,Child  ,2011-11,"11,890","44,151","$552,675.19 ",$46.48 ,,,,
STANISLAUS          ,Child  ,2011-12,"11,656","43,330","$545,741.86 ",$46.82 ,,,,
STANISLAUS          ,Child  ,2012-01,"12,319","45,939","$579,793.72 ",$47.06 ,,,,
STANISLAUS          ,Child  ,2012-02,"12,085","44,957","$563,699.31 ",$46.64 ,,,,
STANISLAUS          ,Child  ,2012-03,"12,307","45,439","$567,424.61 ",$46.11 ,,,,
STANISLAUS          ,Child  ,2012-04,"12,365","45,671","$567,286.70 ",$45.88 ,,,,
STANISLAUS          ,Child  ,2012-05,"12,613","46,390","$562,087.02 ",$44.56 ,,,,
STANISLAUS          ,Child  ,2012-06,"12,628","46,553","$553,154.96 ",$43.80 ,,,,
STANISLAUS          ,Child  ,2012-07,"12,662","46,749","$557,331.44 ",$44.02 ,,,,
STANISLAUS          ,Child  ,2012-08,"12,826","47,441","$568,606.03 ",$44.33 ,,,,
STANISLAUS          ,Child  ,2012-09,"12,483","46,294","$559,446.40 ",$44.82 ,,,,
STANISLAUS          ,Child  ,2012-10,"12,500","45,664","$556,501.77 ",$44.52 ,,,,
STANISLAUS          ,Child  ,2012-11,"12,266","44,995","$555,203.20 ",$45.26 ,,,,
STANISLAUS          ,Child  ,2012-12,"11,802","43,055","$533,228.95 ",$45.18 ,,,,
STANISLAUS          ,Child  ,2013-01,"12,690","46,889","$580,687.40 ",$45.76 ,,,,
STANISLAUS          ,Child  ,2013-02,"12,199","44,855","$553,969.64 ",$45.41 ,,,,
STANISLAUS          ,Child  ,2013-03,"12,065","44,417","$545,853.03 ",$45.24 ,,,,
STANISLAUS          ,Child  ,2013-04,"12,402","45,777","$560,555.03 ",$45.20 ,,,,
STANISLAUS          ,Child  ,2013-05,"12,489","45,862","$563,314.33 ",$45.10 ,,,,
STANISLAUS          ,Child  ,2013-06,"12,576","46,335","$568,544.59 ",$45.21 ,,,,
STANISLAUS          ,Child  ,2013-07,"12,816","47,342","$580,963.66 ",$45.33 ,,,,
STANISLAUS          ,Child  ,2013-08,"12,816","47,135","$576,500.81 ",$44.98 ,,,,
STANISLAUS          ,Child  ,2013-09,"12,465","46,350","$567,024.45 ",$45.49 ,,,,
STANISLAUS          ,Child  ,2013-10,"12,286","45,041","$552,507.21 ",$44.97 ,,,,
STANISLAUS          ,Child  ,2013-11,"11,284","41,622","$514,865.92 ",$45.63 ,,,,
STANISLAUS          ,Child  ,2013-12,"10,923","40,299","$497,962.96 ",$45.59 ,,,,
STANISLAUS          ,Child  ,2014-01,"11,644","43,198","$534,304.64 ",$45.89 ,,,,
STANISLAUS          ,Child  ,2014-02,"10,958","40,654","$508,536.47 ",$46.41 ,,,,
STANISLAUS          ,Child  ,2014-03,"11,363","42,058","$532,162.96 ",$46.83 ,,,,
STANISLAUS          ,Child  ,2014-04,"11,449","42,644","$541,601.30 ",$47.31 ,,,,
STANISLAUS          ,Child  ,2014-05,"11,509","42,615","$541,280.14 ",$47.03 ,,,,
STANISLAUS          ,Child  ,2014-06,"11,556","42,867","$559,273.38 ",$48.40 ,,,,
STANISLAUS          ,Child  ,2014-07,"11,853","43,909","$578,013.35 ",$48.77 ,,,,
STANISLAUS          ,Child  ,2014-08,"11,714","43,276","$569,395.98 ",$48.61 ,,,,
STANISLAUS          ,Child  ,2014-09,"11,725","43,384","$572,172.29 ",$48.80 ,,,,
STANISLAUS          ,Child  ,2014-10,"11,564","42,289","$559,535.34 ",$48.39 ,,,,
STANISLAUS          ,Child  ,2014-11,"11,014","40,210","$535,273.77 ",$48.60 ,,,,
STANISLAUS          ,Child  ,2014-12,"10,857","39,654","$531,732.59 ",$48.98 ,,,,
STANISLAUS          ,Child  ,2015-01,"11,301","41,459","$553,451.54 ",$48.97 ,,,,
STANISLAUS          ,Child  ,2015-02,"10,897","39,837","$525,623.81 ",$48.24 ,,,,
STANISLAUS          ,Child  ,2015-03,"11,014","40,449","$526,178.71 ",$47.77 ,,,,
STANISLAUS          ,Child  ,2015-04,"10,976","40,144","$517,871.03 ",$47.18 ,,,,
STANISLAUS          ,Child  ,2015-05,"10,587","38,727","$496,645.60 ",$46.91 ,,,,
STANISLAUS          ,Child  ,2015-06,"10,719","39,394","$508,314.61 ",$47.42 ,,,,
STANISLAUS          ,Child  ,2015-07,"10,868","39,819","$513,541.33 ",$47.25 ,,,,
STANISLAUS          ,Child  ,2015-08,"10,843","39,633","$512,483.56 ",$47.26 ,,,,
STANISLAUS          ,Child  ,2015-09,"10,659","39,125","$503,121.81 ",$47.20 ,,,,
STANISLAUS          ,Child  ,2015-10,"10,483","38,226","$490,471.37 ",$46.79 ,,,,
STANISLAUS          ,Child  ,2015-11,"9,933","36,297","$464,392.62 ",$46.75 ,,,,
STANISLAUS          ,Child  ,2015-12,"10,025","36,654","$466,399.08 ",$46.52 ,,,,
STANISLAUS          ,Child  ,2016-01,"10,175","37,407","$477,175.25 ",$46.90 ,,,,
STANISLAUS          ,Child  ,2016-02,"9,949","36,372","$459,375.71 ",$46.17 ,,,,
STANISLAUS          ,Child  ,2016-03,"10,025","36,650","$458,646.41 ",$45.75 ,,,,
STANISLAUS          ,Child  ,2016-04,"9,961","36,482","$460,820.78 ",$46.26 ,,,,
STANISLAUS          ,Child  ,2016-05,"9,688","35,377","$440,061.97 ",$45.42 ,,,,
STANISLAUS          ,Child  ,2016-06,"9,867","36,152","$450,119.64 ",$45.62 ,,,,
STANISLAUS          ,Child  ,2016-07,"9,680","35,340","$440,248.11 ",$45.48 ,,,,
STANISLAUS          ,Child  ,2016-08,"10,071","36,869","$460,425.39 ",$45.72 ,,,,
STANISLAUS          ,Child  ,2016-09,"9,907","36,329","$455,327.52 ",$45.96 ,,,,
STANISLAUS          ,Child  ,2016-10,"9,583","35,056","$440,369.67 ",$45.95 ,,,,
STANISLAUS          ,Child  ,2016-11,"9,453","34,620","$437,421.27 ",$46.27 ,,,,
STANISLAUS          ,Child  ,2016-12,"9,257","33,793","$431,183.53 ",$46.58 ,,,,
STANISLAUS          ,Child  ,2017-01,"9,592","35,489","$452,645.08 ",$47.19 ,,,,
STANISLAUS          ,Child  ,2017-02,"9,265","33,958","$432,188.53 ",$46.65 ,,,,
STANISLAUS          ,Child  ,2017-03,"9,523","34,831","$445,688.91 ",$46.80 ,,,,
STANISLAUS          ,Child  ,2017-04,"9,250","33,963","$432,905.72 ",$46.80 ,,,,
STANISLAUS          ,Child  ,2017-05,"9,375","34,264","$435,563.50 ",$46.46 ,,,,
STANISLAUS          ,Child  ,2017-06,"9,393","34,447","$436,800.71 ",$46.50 ,,,,
STANISLAUS          ,Child  ,2017-07,"9,315","34,067","$434,493.70 ",$46.64 ,,,,
STANISLAUS          ,Child  ,2017-08,"9,516","34,788","$443,366.10 ",$46.59 ,,,,
STANISLAUS          ,Child  ,2017-09,"9,167","33,718","$430,442.11 ",$46.96 ,,,,
STANISLAUS          ,Child  ,2017-10,"9,098","33,196","$423,970.80 ",$46.60 ,,,,
STANISLAUS          ,Child  ,2017-11,"9,125","33,269","$428,089.34 ",$46.91 ,,,,
STANISLAUS          ,Child  ,2017-12,"8,970","32,845","$423,492.39 ",$47.21 ,,,,
STANISLAUS          ,Child  ,2018-01,"9,414","34,653","$445,670.39 ",$47.34 ,,,,
STANISLAUS          ,Child  ,2018-02,"9,172","33,529","$433,482.86 ",$47.26 ,,,,
STANISLAUS          ,Child  ,2018-03,"9,133","33,326","$430,810.61 ",$47.17 ,,,,
STANISLAUS          ,Child  ,2018-04,"9,112","33,528","$431,341.90 ",$47.34 ,,,,
STANISLAUS          ,Child  ,2018-05,"9,107","33,232","$426,323.11 ",$46.81 ,,,,
STANISLAUS          ,Child  ,2018-06,"9,238","33,746","$431,454.05 ",$46.70 ,,,,
STANISLAUS          ,Child  ,2018-07,"9,263","33,848","$434,192.27 ",$46.87 ,,,,
STANISLAUS          ,Child  ,2018-08,"9,498","34,539","$442,362.88 ",$46.57 ,,,,
STANISLAUS          ,Child  ,2018-09,"9,189","33,485","$429,170.52 ",$46.70 ,,,,
STANISLAUS          ,Child  ,2018-10,"8,882","32,212","$413,981.35 ",$46.61 ,,,,
STANISLAUS          ,Child  ,2018-11,"8,706","31,651","$411,523.21 ",$47.27 ,,,,
STANISLAUS          ,Child  ,2018-12,"8,603","31,025","$406,303.04 ",$47.23 ,,,,
STANISLAUS          ,Infant  ,2010-01,"4,276","16,037","$521,119.61 ",$121.87 ,,,,
STANISLAUS          ,Infant  ,2010-02,"4,240","15,862","$514,112.92 ",$121.25 ,,,,
STANISLAUS          ,Infant  ,2010-03,"4,301","16,056","$514,274.65 ",$119.57 ,,,,
STANISLAUS          ,Infant  ,2010-04,"4,329","13,209","$518,920.40 ",$119.87 ,,,,
STANISLAUS          ,Infant  ,2010-05,"4,272","11,140","$513,822.85 ",$120.28 ,,,,
STANISLAUS          ,Infant  ,2010-06,"4,308","10,295","$518,822.77 ",$120.43 ,,,,
STANISLAUS          ,Infant  ,2010-07,"4,266","10,257","$517,642.38 ",$121.34 ,,,,
STANISLAUS          ,Infant  ,2010-08,"4,291","10,517","$528,196.78 ",$123.09 ,,,,
STANISLAUS          ,Infant  ,2010-09,"4,344","10,724","$534,580.00 ",$123.06 ,,,,
STANISLAUS          ,Infant  ,2010-10,"4,240","10,513","$523,641.04 ",$123.50 ,,,,
STANISLAUS          ,Infant  ,2010-11,"4,179","10,638","$514,854.91 ",$123.20 ,,,,
STANISLAUS          ,Infant  ,2010-12,"4,053","10,464","$498,849.12 ",$123.08 ,,,,
STANISLAUS          ,Infant  ,2011-01,"4,216","11,060","$515,021.50 ",$122.16 ,,,,
STANISLAUS          ,Infant  ,2011-02,"4,144","11,025","$504,863.97 ",$121.83 ,,,,
STANISLAUS          ,Infant  ,2011-03,"4,286","11,384","$519,907.39 ",$121.30 ,,,,
STANISLAUS          ,Infant  ,2011-04,"4,282","11,541","$525,582.94 ",$122.74 ,,,,
STANISLAUS          ,Infant  ,2011-05,"4,281","11,457","$526,354.66 ",$122.95 ,,,,
STANISLAUS          ,Infant  ,2011-06,"4,337","11,659","$536,721.01 ",$123.75 ,,,,
STANISLAUS          ,Infant  ,2011-07,"4,337","11,623","$539,604.54 ",$124.42 ,,,,
STANISLAUS          ,Infant  ,2011-08,"4,372","11,649","$549,097.71 ",$125.59 ,,,,
STANISLAUS          ,Infant  ,2011-09,"4,338","11,439","$556,543.80 ",$128.30 ,,,,
STANISLAUS          ,Infant  ,2011-10,"4,289","11,222","$545,528.90 ",$127.19 ,,,,
STANISLAUS          ,Infant  ,2011-11,"4,224","10,985","$540,020.34 ",$127.85 ,,,,
STANISLAUS          ,Infant  ,2011-12,"4,156","10,931","$535,956.63 ",$128.96 ,,,,
STANISLAUS          ,Infant  ,2012-01,"4,353","11,467","$558,495.04 ",$128.30 ,,,,
STANISLAUS          ,Infant  ,2012-02,"4,307","11,542","$555,965.19 ",$129.08 ,,,,
STANISLAUS          ,Infant  ,2012-03,"4,386","11,559","$559,248.34 ",$127.51 ,,,,
STANISLAUS          ,Infant  ,2012-04,"4,347","11,518","$553,318.42 ",$127.29 ,,,,
STANISLAUS          ,Infant  ,2012-05,"4,432","11,615","$554,432.29 ",$125.10 ,,,,
STANISLAUS          ,Infant  ,2012-06,"4,422","11,630","$544,072.13 ",$123.04 ,,,,
STANISLAUS          ,Infant  ,2012-07,"4,433","11,570","$547,326.97 ",$123.47 ,,,,
STANISLAUS          ,Infant  ,2012-08,"4,444","11,532","$548,714.17 ",$123.47 ,,,,
STANISLAUS          ,Infant  ,2012-09,"4,314","11,181","$541,299.69 ",$125.48 ,,,,
STANISLAUS          ,Infant  ,2012-10,"4,305","10,875","$545,297.46 ",$126.67 ,,,,
STANISLAUS          ,Infant  ,2012-11,"4,276","10,831","$540,556.15 ",$126.42 ,,,,
STANISLAUS          ,Infant  ,2012-12,"4,014","10,282","$510,452.33 ",$127.17 ,,,,
STANISLAUS          ,Infant  ,2013-01,"4,359","11,170","$556,533.96 ",$127.67 ,,,,
STANISLAUS          ,Infant  ,2013-02,"4,327","11,378","$556,355.90 ",$128.58 ,,,,
STANISLAUS          ,Infant  ,2013-03,"4,298","11,183","$552,935.02 ",$128.65 ,,,,
STANISLAUS          ,Infant  ,2013-04,"4,353","11,407","$561,731.04 ",$129.04 ,,,,
STANISLAUS          ,Infant  ,2013-05,"4,375","11,424","$563,026.82 ",$128.69 ,,,,
STANISLAUS          ,Infant  ,2013-06,"4,357","11,445","$564,447.61 ",$129.55 ,,,,
